Name,Unmodelled (BP),,,,,
,from,to,%,mu,sigma,median
R_Date D-AMS 001612,1059,962,95.4,1010,30,1006
R_Date D-AMS 001622a,1526,1407,95.4,1467,36,1469
R_Date D-AMS 001622b,530,485,95.4,508,13,509
R_Date D-AMS 001614,1693,1538,95.3,1598,38,1591
R_Date D-AMS 001615,4845,4627,95.4,4740,63,4736
R_Date D-AMS 001623,3828,3639,95.4,3724,56,3712
R_Date D-AMS 001616a,5584,5326,95.4,5466,84,5477
R_Date D-AMS 001616b,4419,4249,95.4,4343,47,4347
R_Date D-AMS 001624a,5581,5325,95.4,5448,87,5458
R_Date D-AMS 001624b,4412,4160,95.4,4301,64,4298
R_Date D-AMS 001617,5579,5322,95.4,5424,78,5399
R_Date D-AMS 001618,7682,7595,95.4,7642,23,7643
R_Date D-AMS 001619a,7494,7418,95.4,7447,23,7445
R_Date D-AMS 001619b,6278,6019,95.4,6176,70,6192
R_Date D-AMS 001625,6305,6208,95.4,6258,31,6269
R_Date D-AMS 001626,6170,5910,95.4,5970,47,5963
R_Date D-AMS 001620,7758,7614,95.4,7685,35,7682
R_Date D-AMS 001621,6307,6206,95.4,6257,32,6263
R_Date D-AMS 001627a,7663,7510,95.4,7585,37,7586
R_Date D-AMS 001627b,6464,6312,95.4,6387,41,6393
R_Date D-AMS 001628,8170,8016,95.4,8094,46,8097
